日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2024-03-06,=5467.6200,=10295.1200,=16105016710382.6602,=12167542372816,=3606905682686.8809,=0.7433,=0.2288,=1.1909,=1.0283,=0.7190
2024-03-05,=5469.1500,=10298,=16244328685133.5605,=12264807799094,=3624394137133.4609,=0.7497,=0.2305,=1.1909,=1.0285,=0.7190
2024-03-04,=5439.7600,=10242.6500,=16019122538198.8867,=12109689872460,=3580606767485.9189,=0.7393,=0.2251,=1.1909,=1.0287,=0.7190
2024-03-01,=5414.2400,=10194.6100,=15928531560340.7109,=12022444921666,=3576641327312.5996,=0.7352,=0.2206,=1.1909,=1.0289,=0.7190
2024-02-29,=5414.0200,=10194.1900,=15920163574414.2188,=12021952045483,=3576649609935.1504,=0.7348,=0.2198,=1.1909,=1.0289,=0.7190
2024-02-28,=5352.3600,=10078.0900,=15865550956890.1445,=11983494775711,=3559160251731.6299,=0.7322,=0.2150,=1.1909,=1.0289,=0.7190
2024-02-27,=5402.8900,=10173.2400,=15896371137183.5293,=12000347469926,=3569693672262.1802,=0.7337,=0.2170,=1.1909,=1.0291,=0.7190
2024-02-26,=5374.6800,=10120.1100,=15870513596071.5781,=11981520729264,=3562218265434.1191,=0.7325,=0.2154,=1.1909,=1.0293,=0.7190
2024-02-23,=5470.9800,=10301.4400,=16285576119853.7539,=12279947369491,=3639247901565.2104,=0.7516,=0.2293,=1.1909,=1.0295,=0.7190
2024-02-22,=5490.4000,=10338,=16267887460327.4785,=12276585198831,=3636918719314.8701,=0.7508,=0.2289,=1.1909,=1.0295,=0.7190
2024-02-21,=5411.4500,=10189.3600,=16051240209497.4805,=12085582724889,=3597917474153.3306,=0.7408,=0.2244,=1.1909,=1.0296,=0.7190
2024-02-20,=5410.1900,=10186.9800,=15946444496822.0859,=12009082684444,=3569806470847.0811,=0.7360,=0.2191,=1.1909,=1.0298,=0.7190
2024-02-19,=5348.8800,=10071.5400,=15803524187982.5664,=11892299029044,=3534963961153.5005,=0.7294,=0.2117,=1.1909,=1.0301,=0.7190
2024-02-08,=5244.2200,=9874.4600,=15327907204239.7383,=11547529869604,=3457604334460.4595,=0.7074,=0.1911,=1.1907,=1.0306,=0.7193
2024-02-07,=5240.3200,=9860.3700,=15429344893825.2227,=11613455184207,=3462715620157.3389,=0.7121,=0.1943,=1.1907,=1.0307,=0.7199
2024-02-06,=5139.1500,=9670.0200,=15472180585325.4043,=11602096054688,=3448869173762.5781,=0.7141,=0.1952,=1.1907,=1.0307,=0.7200
2024-02-05,=5020.6800,=9447.0900,=15401815885577.1797,=11545769383193,=3413983845264.7085,=0.7108,=0.1933,=1.1909,=1.0310,=0.7200
2024-02-02,=5024.8000,=9454.8500,=15139053203394.4570,=11355804590738,=3381869920389.7100,=0.6987,=0.1798,=1.1909,=1.0312,=0.7202
2024-02-01,=5028.7900,=9462.3500,=15053884390971.6504,=11301684651387,=3368548576506.0103,=0.6948,=0.1745,=1.1909,=1.0314,=0.7209
2024-01-31,=5079.3400,=9557.4700,=15207981454467.9414,=11427497495041,=3399787232103.7690,=0.7019,=0.1832,=1.1909,=1.0315,=0.7215
2024-01-30,=5098.2700,=9593.1000,=15122253657753.2500,=11366874689312,=3391896830517.9399,=0.6979,=0.1779,=1.1909,=1.0317,=0.7218
2024-01-29,=5166.2100,=9720.9300,=15234206821163.0898,=11442522610160,=3421480370680.8315,=0.7031,=0.1849,=1.1909,=1.0317,=0.7221
2024-01-26,=5152.4000,=9694.9500,=15128559240754.2109,=11370853052800,=3397480619727.3716,=0.6982,=0.1778,=1.1909,=1.0317,=0.7222
2024-01-25,=5085.8900,=9569.8000,=14831821155609.1172,=11148959818987,=3349530280887.3511,=0.6845,=0.1582,=1.1909,=1.0318,=0.7226
2024-01-24,=4943.4600,=9301.7900,=14437557297535.7109,=10825576332481,=3273143426480.6011,=0.6663,=0.1146,=1.1909,=1.0320,=0.7227
2024-01-23,=4835.9300,=9099.4600,=14096176120439.8105,=10564758019240,=3199876730271.5107,=0.6506,=0.0629,=1.1909,=1.0324,=0.7228
2024-01-22,=4778.6800,=8991.7500,=14059071435432.3789,=10534327836755,=3186810703180.3296,=0.6488,=0.0579,=1.1909,=1.0324,=0.7228
2024-01-19,=4942.0800,=9299.2000,=14182102828231.0527,=10646946257088,=3233822147786.5908,=0.6545,=0.0743,=1.1909,=1.0325,=0.7233
2024-01-18,=4971.3000,=9354.1900,=14230390547115.3828,=10679056673917,=3240171200826.9214,=0.6567,=0.0830,=1.1909,=1.0325,=0.7237
2024-01-17,=5004.1100,=9415.9100,=14260416508053.3281,=10697196710674,=3242851767504.2192,=0.6581,=0.0887,=1.1909,=1.0326,=0.7239
2024-01-16,=5075.1500,=9549.5900,=14424332571498.0586,=10823654589090,=3278999840570.1196,=0.6657,=0.1113,=1.1909,=1.0332,=0.7240
2024-01-15,=5057.5100,=9516.4100,=14344751620372.2617,=10763660946179,=3258165806389.3306,=0.6620,=0.1007,=1.1909,=1.0335,=0.7241
2024-01-12,=5032.4200,=9469.1800,=14250214041048.5020,=10690901087142,=3241988187904.1899,=0.6577,=0.0867,=1.1909,=1.0337,=0.7243
2024-01-11,=5020.5800,=9446.9100,=14159530620840.9395,=10625411313762,=3226773000372.6294,=0.6535,=0.0698,=1.1909,=1.0339,=0.7252
2024-01-10,=5046.5200,=9495.7200,=14341391946253.6113,=10758699987310,=3250298138789.1499,=0.6619,=0.0986,=1.1909,=1.0340,=0.7254
2024-01-09,=5074.4000,=9548.1900,=14453816614002.8203,=10833571387919,=3271355182605.2788,=0.6671,=0.1130,=1.1909,=1.0341,=0.7267
2024-01-08,=5046.0200,=9494.7800,=14422635288545.0801,=10806489537044,=3259365588312.3989,=0.6656,=0.1085,=1.1909,=1.0344,=0.7279
2024-01-05,=5099.2500,=9594.9300,=14481500337097.6797,=10843045516300,=3281080806225.6812,=0.6683,=0.1170,=1.1909,=1.0345,=0.7279
2024-01-04,=5096.1600,=9589.1200,=14475051764645.3906,=10832950297283,=3268962049298.4097,=0.6680,=0.1154,=1.1909,=1.0347,=0.7280
2024-01-03,=5074.1800,=9547.7700,=14349363740215.2422,=10741378767579,=3257754724766.9199,=0.6622,=0.0998,=1.1909,=1.0349,=0.7285
2024-01-02,=5020.9900,=9447.6900,=14186823960463.4512,=10621772016816,=3234544538070.2388,=0.6547,=0.0744,=1.1909,=1.0352,=0.7293
2023-12-29,=4969.6700,=9351.1100,=14105158929087.3613,=10563830179647,=3239438182464.8291,=0.6510,=0.0637,=1.1909,=1.0352,=0.7294
2023-12-28,=4943.8000,=9302.4300,=14043313567003.4492,=10512157942680,=3212747848336.7588,=0.6481,=0.0567,=1.1909,=1.0352,=0.7297
2023-12-27,=4950.1400,=9314.3600,=14129582814780.0391,=10567697317281,=3207861816854.1411,=0.6521,=0.0645,=1.1909,=1.0353,=0.7300
2023-12-26,=4921.8700,=9261.1700,=14026751045482.7949,=10496001156802,=3192268248328.2197,=0.6473,=0.0563,=1.1909,=1.0354,=0.7302
2023-12-25,=4951.0600,=9316.1000,=14024725002023.5977,=10501142817390,=3201094599934.2412,=0.6473,=0.0555,=1.1909,=1.0355,=0.7306
2023-12-22,=4943.3200,=9301.5300,=13950191722152.1621,=10445215933493,=3191402519261.5093,=0.6438,=0.0509,=1.1909,=1.0358,=0.7311
2023-12-21,=4954.7100,=9322.9600,=13888683181064.8809,=10393988920456,=3178736108005.9507,=0.6410,=0.0448,=1.1909,=1.0358,=0.7319
2023-12-20,=4959.6500,=9332.2500,=13903163827419.9473,=10402974960220,=3174947211622.5498,=0.6416,=0.0456,=1.1909,=1.0359,=0.7324
2023-12-19,=4981.9400,=9374.2100,=13926671258532.3652,=10418571957444,=3189420089896.7798,=0.6427,=0.0485,=1.1909,=1.0360,=0.7326
2023-12-18,=4990.6400,=9390.5800,=13922128685249.5566,=10418145309781,=3192991214577.9097,=0.6425,=0.0477,=1.1909,=1.0360,=0.7330
2023-12-15,=5001.8200,=9411.6100,=13831693602741.2734,=10356410743092,=3182980372059.1895,=0.6383,=0.0419,=1.1909,=1.0360,=0.7334
2023-12-14,=5031.5200,=9467.5000,=13941410664922.5898,=10433043620143,=3200800387357.5117,=0.6434,=0.0481,=1.1909,=1.0360,=0.7338
2023-12-13,=5036.1200,=9476.1400,=13971237276530.9473,=10455119952903,=3208601814736.5601,=0.6448,=0.0505,=1.1909,=1.0361,=0.7339
2023-12-12,=5078.0700,=9555.0700,=14072114748736.6797,=10538257340230,=3236898379482.6201,=0.6494,=0.0546,=1.1909,=1.0361,=0.7344
2023-12-11,=5039.7000,=9482.8800,=13906017187610.6816,=10419422603489,=3199903187588.6001,=0.6418,=0.0452,=1.1909,=1.0364,=0.7347
2023-12-08,=4963.7500,=9339.9800,=12840777488361.8770,=9507710300868,=3163137067616.8096,=0.6247,=0.0127,=1.1909,=1.0368,=0.7347
2023-12-07,=4964.6900,=9341.7400,=12827071578837.9004,=9502665104176,=3162667724943.0898,=0.6240,=0.0103,=1.1909,=1.0369,=0.7351
2023-12-06,=4957.1900,=9327.6300,=12796535229630.5801,=9480058443738,=3156816370409.7998,=0.6225,=0.0094,=1.1916,=1.0369,=0.7360
2023-12-05,=4959.3200,=9331.6300,=12900796027653.7637,=9551515801337,=3169734840139.3188,=0.6276,=0.0152,=1.1934,=1.0372,=0.7375
2023-12-04,=5024.1400,=9453.6100,=13049642762105.3828,=9665442741449,=3213295160687.5093,=0.6348,=0.0337,=1.1937,=1.0373,=0.7378
2023-12-01,=5023.6200,=9452.6400,=13055996823341.6582,=9680500813210,=3221303257661.2705,=0.6351,=0.0357,=1.1945,=1.0379,=0.7380
2023-11-30,=5008.6100,=9424.3900,=13051531760389.7578,=9673251248880,=3221523362213.1899,=0.6349,=0.0345,=1.1945,=1.0384,=0.7380
2023-11-29,=4992.1300,=9393.3700,=12960770486442.2891,=9611305710135,=3204170013605.2012,=0.6305,=0.0189,=1.1945,=1.0384,=0.7385
2023-11-28,=5027.3800,=9459.7000,=13033695939066.0938,=9667249466428,=3231464442740.3306,=0.6340,=0.0312,=1.1945,=1.0386,=0.7386
2023-11-27,=5027.7500,=9460.4100,=13039927786766.0430,=9673718626052,=3236418728109.6704,=0.6343,=0.0320,=1.1945,=1.0386,=0.7387
2023-11-24,=5041.0700,=9485.4700,=13083526725967.9277,=9703080064168,=3248342141835.6108,=0.6365,=0.0357,=1.1945,=1.0387,=0.7392
2023-11-23,=5037.9500,=9479.5900,=13061534884887.2656,=9693230571562,=3246074945314.1602,=0.6354,=0.0349,=1.1945,=1.0388,=0.7399
2023-11-22,=4998.8000,=9405.9300,=13025458176425.5938,=9657391788681,=3229127195018.5615,=0.6336,=0.0292,=1.1945,=1.0391,=0.7399
2023-11-21,=5014.0300,=9434.5800,=13059282750227.8379,=9680537011626,=3238556937285.8989,=0.6353,=0.0341,=1.1945,=1.0395,=0.7399
2023-11-20,=4995.5200,=9399.7500,=13020744930865.0020,=9648376280239,=3224857638414.9795,=0.6334,=0.0288,=1.1945,=1.0396,=0.7416
2023-11-17,=4982.9500,=9376.1000,=12973476357162.4102,=9612608878305,=3213885407174.2998,=0.6311,=0.0209,=1.1945,=1.0396,=0.7416
2023-11-16,=4995.8600,=9400.3900,=13030288745619.3555,=9655290515555,=3229190613752.3799,=0.6339,=0.0296,=1.1945,=1.0396,=0.7420
2023-11-15,=5002.0900,=9412.1200,=13016369137606.5098,=9652298229882,=3233880702496.6191,=0.6332,=0.0267,=1.1945,=1.0397,=0.7427
2023-11-14,=4977.8400,=9366.5000,=12973093322640.5703,=9613125516233,=3216421944838.4302,=0.6311,=0.0205,=1.1945,=1.0397,=0.7443
2023-11-13,=4984.7000,=9379.3900,=12975401929473.0859,=9617560246141,=3220403013666.6709,=0.6312,=0.0205,=1.1945,=1.0397,=0.7446
2023-11-10,=4975.8000,=9362.6500,=13002004702028.5977,=9631453681960,=3226579264197.3789,=0.6325,=0.0238,=1.1945,=1.0406,=0.7455
2023-11-09,=4993.8900,=9396.6800,=13019587926214.5391,=9653356547583,=3241079394258.8091,=0.6333,=0.0259,=1.1945,=1.0409,=0.7458
2023-11-08,=4961.3300,=9335.4200,=12868778116683.5898,=9555227488988,=3219169467509.0298,=0.6260,=0.0136,=1.1945,=1.0410,=0.7499
2023-11-07,=4967.4900,=9345.8100,=12898276207434.2988,=9579468803456,=3227920742364.2700,=0.6274,=0.0144,=1.1945,=1.0410,=0.7507
2023-11-06,=4969.8900,=9350.3200,=12864296736513.1035,=9564197014663,=3230819114808.1592,=0.6258,=0.0127,=1.1945,=1.0411,=0.7522
2023-11-03,=4977.7900,=9365.1800,=12971059300804.5820,=9630135712863,=3237193798418.5503,=0.6310,=0.0185,=1.1945,=1.0411,=0.7541
2023-11-02,=5001.2000,=9409.2200,=13053991595663.2793,=9688926512734,=3250142657380.7798,=0.6350,=0.0283,=1.1945,=1.0411,=0.7551
2023-11-01,=4992.9400,=9393.6900,=12981251157630.2695,=9639889728079,=3238654497946.8696,=0.6315,=0.0197,=1.1945,=1.0411,=0.7570
2023-10-31,=4998.8900,=9404.8900,=12951637361458.6191,=9619765201005,=3239369570321.1196,=0.6300,=0.0168,=1.1945,=1.0413,=0.7573
2023-10-30,=4989.6700,=9387.5400,=12859953209002.8672,=9562383973443,=3234120062148.1289,=0.6319,=0.0205,=1.1945,=1.0414,=0.7582
2023-10-27,=5041.4700,=9484.9900,=13095456584432.4102,=9690575902502,=3261306889191.9014,=0.6505,=0.0439,=1.1945,=1.0416,=0.7591
2023-10-26,=5021.2000,=9446.8500,=13108731532092.7500,=9687919337674,=3261770008840.4380,=0.6563,=0.0608,=1.1945,=1.0416,=0.7592
2023-10-25,=4997.2100,=9401.7200,=12969155137753.6172,=9595796910096,=3241066625866.5547,=0.6494,=0.0415,=1.1945,=1.0417,=0.7600
2023-10-24,=4953.0400,=9318.6300,=12991623610938.8691,=9606351445572,=3230274410995.6577,=0.6507,=0.0440,=1.1945,=1.0422,=0.7601
2023-10-23,=4915.6500,=9248.2700,=13067895180952.7734,=9645864053168,=3232492278024.6348,=0.6545,=0.0542,=1.1947,=1.0424,=0.7614
2023-10-20,=4982.3700,=9373.8000,=13135189110072.9668,=9695848326576,=3254128433903.2842,=0.6580,=0.0657,=1.1952,=1.0424,=0.7635
2023-10-19,=5008.1900,=9422.3900,=13226872702354.2891,=9756650414559,=3271605617388.7012,=0.6625,=0.0785,=1.1952,=1.0424,=0.7690
2023-10-18,=5093.1100,=9582.1400,=13492699141570.3516,=9953446522745,=3340801342315.4570,=0.6759,=0.1146,=1.1954,=1.0425,=0.7720
2023-10-17,=5140.4900,=9671.2900,=13502565595641.2695,=9968306844204,=3356473050226.7666,=0.6764,=0.1154,=1.1960,=1.0425,=0.7731
2023-10-16,=5130.5200,=9652.5200,=13462756751830.4902,=9940347208029,=3347531892920.6528,=0.6744,=0.1101,=1.1967,=1.0426,=0.7772
2023-10-13,=5120.7100,=9631.8400,=13445708264041.6680,=9926218827403,=3349948362818.3872,=0.6735,=0.1060,=1.1984,=1.0428,=0.7778
2023-10-12,=5127.1700,=9643.9900,=13338401513101.3984,=9884351778297,=3348499584979.1577,=0.6681,=0.0937,=1.1984,=1.0428,=0.7794
2023-10-11,=5075.7900,=9547.3500,=13128816663712.1016,=9752372479819,=3306534028254.9717,=0.6576,=0.0649,=1.1986,=1.0428,=0.7815
2023-10-10,=5091.6300,=9577.1400,=13107853479681.8789,=9749964017913,=3310419910535.6885,=0.6566,=0.0608,=1.1989,=1.0429,=0.7816
2023-10-09,=5142.7100,=9673.2300,=13196169075220.3789,=9819230653219,=3339110252225.1270,=0.6610,=0.0756,=1.1998,=1.0432,=0.7831
2023-09-28,=5161.1300,=9707.8600,=13192832642997.9492,=9811911835285,=3347097490582.4644,=0.6609,=0.0739,=1.1999,=1.0435,=0.7834
2023-09-27,=5160.2100,=9706.1400,=13143062045226.8105,=9793202529724,=3346124021159.1763,=0.6584,=0.0661,=1.1999,=1.0436,=0.7841
2023-09-26,=5178.0500,=9739.7000,=13254833996913.5898,=9861704182929,=3363930832240.6343,=0.6640,=0.0801,=1.1999,=1.0437,=0.7843
2023-09-25,=5201.5600,=9783.9200,=13305839466487.3105,=9905466569151,=3378675887338.8789,=0.6665,=0.0858,=1.2000,=1.0438,=0.7851
2023-09-22,=5211.9700,=9803.5000,=13311488811536.8301,=9907980592873,=3385452083319.6187,=0.6668,=0.0866,=1.2003,=1.0440,=0.7854
2023-09-21,=5189.7600,=9761.7200,=13215523785935.6875,=9832795014215,=3361322288399.2012,=0.6620,=0.0756,=1.2003,=1.0441,=0.7854
2023-09-20,=5223.7900,=9825.7300,=13275797976476.5820,=9887232189842,=3381155147475.7329,=0.6650,=0.0813,=1.2003,=1.0441,=0.7855
2023-09-19,=5216.8500,=9812.6700,=13213833963198.8398,=9847094898198,=3371483330657.7212,=0.6619,=0.0752,=1.2003,=1.0441,=0.7863
2023-09-18,=5182.1700,=9747.4500,=13094128979003.1504,=9755096283636,=3346965996404.4370,=0.6559,=0.0588,=1.2004,=1.0443,=0.7865
2023-09-15,=5176.4300,=9736.6500,=13087129005752.1992,=9756196814929,=3347135844078.4507,=0.6556,=0.0579,=1.2008,=1.0449,=0.7878
2023-09-14,=5188.4500,=9752.9100,=13198195622800.0977,=9842398874450,=3371807820991.6602,=0.6606,=0.0711,=1.2008,=1.0449,=0.7880
2023-09-13,=5137,=9656.2000,=13033843454582.8223,=9724042177251,=3338545097820.8125,=0.6523,=0.0460,=1.2009,=1.0450,=0.7886
2023-09-12,=5122.7700,=9629.4500,=12986708930707.5371,=9693569798594,=3332280563369.5864,=0.6500,=0.0415,=1.2031,=1.0451,=0.7897
2023-09-11,=5129.3800,=9641.8800,=12997090803211.6055,=9700603884852,=3336142445627.8135,=0.6505,=0.0432,=1.2048,=1.0452,=0.7905
2023-09-08,=5092.1000,=9569.3200,=12972171819086.8965,=9674285833142,=3326729344951.6577,=0.6492,=0.0407,=1.2050,=1.0452,=0.7908
2023-09-07,=5125.6100,=9632.3000,=13037765595406.6602,=9730072479274,=3343234763762.7749,=0.6524,=0.0456,=1.2050,=1.0452,=0.7914
2023-09-06,=5152.7000,=9683.2200,=13058157709608.4824,=9748646621649,=3355367225565.9209,=0.6535,=0.0477,=1.2050,=1.0453,=0.7925
2023-09-05,=5153.7700,=9685.2200,=13036890654576.1094,=9736124558216,=3349216770602.0439,=0.6524,=0.0448,=1.2050,=1.0455,=0.7947
2023-09-04,=5194.1600,=9761.1300,=13101905123923.0605,=9783645434817,=3372129886755.8799,=0.6557,=0.0551,=1.2050,=1.0457,=0.7953
2023-09-01,=5114.9200,=9612.2100,=12923737572441.7891,=9651740972645,=3326646571688.8716,=0.6467,=0.0390,=1.2050,=1.0462,=0.7977
2023-08-31,=5060.9000,=9510.7000,=12862998142411.7988,=9597347980878,=3291590245170.3101,=0.6437,=0.0353,=1.2050,=1.0464,=0.7977
2023-08-30,=5113.6300,=9609.7900,=12898172551028.7305,=9634165388429,=3307576054050.1050,=0.6524,=0.0440,=1.2050,=1.0465,=0.7982
2023-08-29,=5151.0800,=9680.1600,=12973657912872.1016,=9686745533533,=3318240430086.7148,=0.6597,=0.0641,=1.2050,=1.0466,=0.7983
2023-08-28,=5141.9300,=9661.7000,=13114221272183.1895,=9776382713266,=3335574776840.8823,=0.6671,=0.0797,=1.2050,=1.0466,=0.7987
2023-08-25,=5071.8700,=9530.0600,=12924740123129,=9639063417314,=3286477569605.4678,=0.6596,=0.0637,=1.2054,=1.0466,=0.7991
2023-08-24,=5061.5600,=9507.5600,=12831042419109.1973,=9577823080996,=3260813878278.5376,=0.6554,=0.0534,=1.2054,=1.0466,=0.7996
2023-08-23,=5085.6200,=9552.7500,=12940738490673.3984,=9649164581387,=3281287289032.7251,=0.6641,=0.0732,=1.2054,=1.0466,=0.7999
2023-08-22,=5099.7600,=9579.3200,=12922310402799.3828,=9647228072892,=3289863909046.2075,=0.6632,=0.0691,=1.2054,=1.0466,=0.8004
2023-08-21,=5059.3700,=9503.4500,=12760948788660.6621,=9530537412147,=3256988700369.0684,=0.6551,=0.0514,=1.2056,=1.0467,=0.8011
2023-08-18,=5112.6600,=9603.5500,=12921394988302.2305,=9657359451728,=3303926952958.6738,=0.6634,=0.0698,=1.2062,=1.0467,=0.8020
2023-08-17,=5134.9800,=9645.4600,=12918308546283.7207,=9668742230853,=3313268655843.4819,=0.6633,=0.0691,=1.2062,=1.0469,=0.8027
2023-08-16,=5134.5100,=9644.5800,=12963908907120.8789,=9696952311622,=3319364853568.7529,=0.6656,=0.0736,=1.2062,=1.0471,=0.8029
2023-08-15,=5137.0400,=9649.3400,=12986818495795.4766,=9709033458907,=3318628640936.2949,=0.6669,=0.0760,=1.2088,=1.0472,=0.8045
2023-08-14,=5103.1900,=9585.7500,=12824941028779.9004,=9594795665289,=3289720792837.4932,=0.6586,=0.0604,=1.2090,=1.0473,=0.8046
2023-08-11,=5105.8800,=9590.8100,=12916873389399.5879,=9658601630214,=3307515267945.2510,=0.6633,=0.0682,=1.2092,=1.0474,=0.8047
2023-08-10,=5185.8300,=9740.9800,=13138109921774.2500,=9834296290748,=3367946112277.2095,=0.6747,=0.0949,=1.2092,=1.0474,=0.8048
2023-08-09,=5172.8800,=9701.3700,=13118854915558.0332,=9819448509090,=3363723981902.1084,=0.6736,=0.0900,=1.2092,=1.0474,=0.8049
2023-08-08,=5195.8500,=9741.1000,=13109911350205.9102,=9815507509135,=3364177221748.0859,=0.6729,=0.0888,=1.2092,=1.0476,=0.8054
2023-08-07,=5203.1100,=9754.7000,=13151471282159.7715,=9844075250417,=3373218741045.3755,=0.6751,=0.0949,=1.2092,=1.0477,=0.8058
2023-08-04,=5248.9100,=9840.5700,=13237151405060.5020,=9902826226588,=3400753312456.6172,=0.6795,=0.1015,=1.2105,=1.0483,=0.8065
2023-08-03,=5264.0900,=9867.8400,=13225176196690.5215,=9898734757566,=3403691851315.0391,=0.6788,=0.0995,=1.2105,=1.0484,=0.8083
2023-08-02,=5235.2900,=9813.8700,=13120858329441.8594,=9819625015919,=3376416302852.8091,=0.6734,=0.0888,=1.2105,=1.0485,=0.8085
2023-08-01,=5283.4600,=9904.1700,=13380484091614.5469,=9993921128667,=3416477755469.1836,=0.6868,=0.1143,=1.2109,=1.0486,=0.8087
2023-07-31,=5278.6600,=9895.1600,=13356535554380.4414,=9975833160029,=3417245968430.9746,=0.6855,=0.1102,=1.2109,=1.0487,=0.8090
2023-07-28,=5241.8000,=9819.6000,=13334137849119.4414,=9955548825292,=3402806165903.9678,=0.6843,=0.1089,=1.2109,=1.0488,=0.8092
2023-07-27,=5147.4500,=9642.8600,=13079848472508.6582,=9762388723341,=3329564382766.8135,=0.6713,=0.0863,=1.2109,=1.0489,=0.8100
2023-07-26,=5142,=9632.6400,=13001147191201.5703,=9720439559787,=3325763075012.9067,=0.6673,=0.0752,=1.2109,=1.0489,=0.8103
2023-07-25,=5132.8400,=9610.0900,=13022639204539.6426,=9729171748256,=3321465393938.0347,=0.6683,=0.0777,=1.2109,=1.0490,=0.8105
2023-07-24,=5048.4700,=9452.1300,=12762195359706.1621,=9532180225924,=3242462704202.0376,=0.6549,=0.0510,=1.2109,=1.0492,=0.8121
2023-07-21,=5046.8500,=9449.1000,=12787157028016.8828,=9547157497737,=3252913824921.8472,=0.6562,=0.0526,=1.2112,=1.0494,=0.8132
2023-07-20,=5048.7500,=9442.7300,=12827990905970,=9582405856467,=3268988233913.8022,=0.6572,=0.0563,=1.2112,=1.0494,=0.8149
2023-07-19,=5076.3100,=9475.1200,=12869707999353.3711,=9618742107366,=3278740944601.7300,=0.6587,=0.0592,=1.2112,=1.0497,=0.8156
2023-07-18,=5056.1200,=9424.2100,=12833501214452.5000,=9589103600300,=3265695966685.4819,=0.6563,=0.0526,=1.2112,=1.0499,=0.8169
2023-07-17,=5060.9400,=9423.9500,=12963542275222.4707,=9692978812293,=3277777287818.5439,=0.6603,=0.0612,=1.2122,=1.0502,=0.8174
2023-07-14,=5111.7200,=9475.3000,=13245029697083.2285,=9893936860402,=3315204123421.5771,=0.6677,=0.0735,=1.2126,=1.0505,=0.8175
2023-07-13,=5113.9000,=9459.9200,=13329636193152.0645,=9885438025814,=3315342670230.5278,=0.6685,=0.0756,=1.2126,=1.0505,=0.8182
2023-07-12,=5064.7200,=9359.4200,=13140166443929.2695,=9759389288107,=3278184730509.8740,=0.6588,=0.0588,=1.2129,=1.0507,=0.8194
2023-07-11,=5103.3500,=9407.3700,=13215991535985.9902,=9810064062087,=3301296221466.7051,=0.6609,=0.0637,=1.2130,=1.0508,=0.8202
2023-07-10,=5093.4100,=9389.0400,=13144169602191.9199,=9764087926931,=3286282680880.5063,=0.6574,=0.0563,=1.2130,=1.0509,=0.8202
2023-07-07,=5072.5900,=9350.6700,=13141317859120.0098,=9761945153670,=3286195106753.9224,=0.6572,=0.0559,=1.2130,=1.0510,=0.8207
2023-07-06,=5054.0400,=9314.4900,=13123839076789.3477,=9746361207985,=3282965123936.2383,=0.6563,=0.0526,=1.2130,=1.0511,=0.8209
2023-07-05,=5086.7700,=9352.2100,=13215239127643.2891,=9814007294621,=3303024147138.0645,=0.6605,=0.0596,=1.2130,=1.0511,=0.8215
2023-07-04,=5100.7700,=9363.7600,=13283629634442.1816,=9867126501351,=3315701245452.1060,=0.6622,=0.0625,=1.2130,=1.0514,=0.8223
2023-07-03,=5125.9600,=9410,=13395909272180.2578,=9948782432581,=3340509228106.5747,=0.6678,=0.0707,=1.2130,=1.0518,=0.8231
2023-06-30,=5072.5500,=9311.9500,=13201602704205.3809,=9733903765445,=3297801827454.6582,=0.6581,=0.0563,=1.2130,=1.0523,=0.8242
2023-06-29,=5067.4500,=9277.8700,=13118286262715.1270,=9681719750888,=3290781893959.3159,=0.6535,=0.0464,=1.2130,=1.0524,=0.8242
2023-06-28,=5084.6300,=9292.6100,=13196077665816.8496,=9745276278518,=3313956936725.8521,=0.6569,=0.0547,=1.2130,=1.0525,=0.8246
2023-06-27,=5060.8200,=9231.3700,=13152186692853.8809,=9699628179602,=3301648246340.6870,=0.6545,=0.0493,=1.2130,=1.0526,=0.8250
2023-06-26,=4974.2800,=9073.5100,=12952705805107.4941,=9555739861834,=3251110417537.5483,=0.6446,=0.0370,=1.2130,=1.0526,=0.8274
2023-06-21,=5040.7000,=9188.5300,=13141382247744.0078,=9692678789577,=3294285037818.8589,=0.6536,=0.0460,=1.2130,=1.0527,=0.8278
2023-06-20,=5090.2600,=9257.2500,=13156470239226.0859,=9719238976714,=3309645291765.3481,=0.6532,=0.0444,=1.2130,=1.0530,=0.8281
2023-06-19,=5132.5400,=9326.4900,=13258894205420.5195,=9789022177500,=3333481637270.1401,=0.6580,=0.0534,=1.2132,=1.0534,=0.8285
2023-06-16,=5197.7700,=9437.8700,=13431386787713.2695,=9922198831478,=3391089666448.7510,=0.6658,=0.0644,=1.2136,=1.0544,=0.8287
2023-06-15,=5216.5800,=9464.1300,=13498088542788.8516,=9962793570189,=3399303915788.4468,=0.6690,=0.0698,=1.2136,=1.0544,=0.8292
2023-06-14,=5214.8900,=9442.2100,=13447159265004.2930,=9924575301657,=3385166365356.1909,=0.6664,=0.0649,=1.2140,=1.0545,=0.8292
2023-06-13,=5243.4000,=9483.5700,=13625623553998.3320,=10033761349869,=3411851724910.0737,=0.6750,=0.0817,=1.2140,=1.0547,=0.8308
2023-06-12,=5252.3200,=9499.6900,=13615251778432.5156,=10032425267964,=3411171994723.3721,=0.6745,=0.0809,=1.2140,=1.0548,=0.8310
