日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-01-16,=5493.3900,=11513.7700,=22768549861302.1055,=15359689107149,=5087234703043.3818,=0.8345,=0.4545,=1.1106,=0.8678,=0.7113
2026-01-15,=5541.7000,=11611.9100,=23061514094608.7383,=15556238602290,=5159016828560.7109,=0.8445,=0.4666,=1.1106,=0.8680,=0.7113
2026-01-14,=5552.3100,=11634.1300,=23133919064765.9844,=15620922525618,=5170625283074.9600,=0.8471,=0.4695,=1.1106,=0.8684,=0.7113
2026-01-13,=5591.9700,=11713.2300,=23447422525575.4180,=15843914599983,=5245887958614.7305,=0.8584,=0.4881,=1.1109,=0.8689,=0.7113
2026-01-12,=5611.1700,=11753.4400,=23246324557510.8438,=15733909719126,=5221720354676.3096,=0.8511,=0.4741,=1.1112,=0.8691,=0.7113
2026-01-09,=5592.6800,=11712.4400,=23239391272404.2383,=15724348402931,=5231562031300.5186,=0.8504,=0.4734,=1.1116,=0.8692,=0.7113
2026-01-08,=5574.6000,=11672.4200,=23231952386953.8633,=15717385951128,=5245885171448.0820,=0.8500,=0.4728,=1.1116,=0.8693,=0.7113
2026-01-07,=5592.9100,=11710.7700,=23395230641683.9570,=15842055878825,=5306823446478.2598,=0.8560,=0.4806,=1.1117,=0.8699,=0.7113
2026-01-06,=5591.0400,=11705.2300,=23657083035753.7148,=15986833453538,=5348374834321.9297,=0.8656,=0.4938,=1.1117,=0.8708,=0.7113
2026-01-05,=5525.1200,=11567.2100,=23522405759912.4414,=15879551669791,=5290775118536.2012,=0.8606,=0.4885,=1.1125,=0.8710,=0.7113
2025-12-31,=5503.9800,=11522.9600,=23665730120217.9336,=15962500840078,=5254327470593.5410,=0.8659,=0.4940,=1.1126,=0.8713,=0.7113
2025-12-30,=5499.2100,=11512.9800,=23546357330704.8555,=15889176086746,=5253680188464.1504,=0.8615,=0.4895,=1.1130,=0.8717,=0.7113
2025-12-29,=5501.7400,=11518.2700,=23505533068076.6172,=15866774037489,=5260288171277.3984,=0.8600,=0.4874,=1.1133,=0.8721,=0.7113
2025-12-26,=5513.7500,=11543.4100,=23261762112918.4844,=15728277756128,=5245221260384.4375,=0.8511,=0.4728,=1.1134,=0.8727,=0.7113
2025-12-25,=5486.4400,=11486.2500,=23322059752032.3828,=15760190711357,=5238929255282.6797,=0.8533,=0.4763,=1.1134,=0.8728,=0.7113
2025-12-24,=5472.2400,=11453.9400,=23341828185411.7656,=15781981115917,=5226007965648.0986,=0.8536,=0.4763,=1.1135,=0.8730,=0.7113
2025-12-23,=5459.1300,=11426.5200,=23426690079607.9258,=15833778816026,=5239640957475.6982,=0.8567,=0.4804,=1.1136,=0.8736,=0.7113
2025-12-22,=5458.2300,=11424.6200,=23276793413367.5195,=15738494971835,=5215871927892.7100,=0.8512,=0.4730,=1.1137,=0.8740,=0.7113
2025-12-19,=5483.3500,=11477.2000,=23281552685076.0508,=15739732224454,=5232918012058.8799,=0.8514,=0.4733,=1.1138,=0.8746,=0.7113
2025-12-18,=5473.7100,=11457.0200,=23413091539063.3672,=15815952395268,=5242624586780.0889,=0.8562,=0.4792,=1.1138,=0.8747,=0.7113
2025-12-17,=5429.6800,=11364.8700,=23017947273057.7031,=15558767940388,=5171490688323.9893,=0.8418,=0.4632,=1.1139,=0.8750,=0.7113
